Timestamp,Market_Price_EUR_MWh,BESS_Power_kW,BESS_SoC_MWh,BESS_SoC_%,BESS_Temperature_C,Operating_Mode,Fault_Flag,Fault_Code,Cycle_Count,AC_Voltage_V,AC_Frequency_Hz
2025-05-01 00:00:00,54.62,0.0,138.0,57.5,26.41,Idle,0,0,0,151285.01,49.97
2025-05-01 00:15:00,53.77,-60000.0,122.21,50.92,29.22,Discharge,0,0,0,150198.66,50.005
2025-05-01 00:30:00,54.73,-60000.0,106.42,44.34,31.62,Discharge,0,0,0,148991.14,49.988
2025-05-01 00:45:00,49.56,60000.0,120.67,50.28,33.72,Charge,0,0,1,150032.56,50.003
2025-05-01 01:00:00,55.41,-60000.0,104.88,43.7,28.85,Discharge,0,0,2,150915.29,49.996
2025-05-01 01:15:00,52.23,-60000.0,89.09,37.12,28.81,Discharge,0,0,2,150272.6,49.991
2025-05-01 01:30:00,50.62,-60000.0,73.3,30.54,29.38,Discharge,0,0,2,148930.71,50.026
2025-05-01 01:45:00,49.95,60000.0,87.55,36.48,27.18,Charge,0,0,3,149742.98,50.007
2025-05-01 02:00:00,50.41,-60000.0,71.76,29.9,29.43,Discharge,0,0,4,151077.86,50.004
2025-05-01 02:15:00,51.63,-60000.0,55.97,23.32,28.32,Discharge,0,0,4,147654.78,50.006
2025-05-01 02:30:00,50.21,0.0,48.0,20.0,22.07,Idle,0,0,4,149673.08,50.009
2025-05-01 02:45:00,50.06,0.0,48.0,20.0,24.57,Idle,0,0,4,149152.5,50.02
2025-05-01 03:00:00,46.14,60000.0,62.25,25.94,33.0,Charge,0,0,4,149442.54,50.031
2025-05-01 03:15:00,47.46,60000.0,76.5,31.87,27.06,Charge,0,0,4,151203.99,50.034
2025-05-01 03:30:00,46.92,60000.0,90.75,37.81,30.77,Charge,0,0,4,149988.18,50.003
2025-05-01 03:45:00,44.01,60000.0,105.0,43.75,31.21,Charge,0,0,4,149344.31,50.004
2025-05-01 04:00:00,46.26,60000.0,119.25,49.69,28.94,Charge,0,0,4,151392.03,49.98
2025-05-01 04:15:00,42.49,60000.0,133.5,55.62,29.33,Charge,0,0,4,151154.31,49.994
2025-05-01 04:30:00,43.33,60000.0,147.75,61.56,31.57,Charge,0,0,4,150142.85,50.028
2025-05-01 04:45:00,41.26,60000.0,162.0,67.5,30.55,Charge,0,0,4,150781.14,50.018
2025-05-01 05:00:00,43.84,60000.0,176.25,73.44,30.55,Charge,0,0,4,149482.03,49.996
2025-05-01 05:15:00,42.0,60000.0,190.5,79.38,29.57,Charge,0,0,4,149726.92,49.992
2025-05-01 05:30:00,40.28,60000.0,204.75,85.31,27.69,Charge,0,0,4,151684.99,49.984
2025-05-01 05:45:00,44.59,60000.0,219.0,91.25,31.63,Charge,0,0,4,148614.96,49.979
2025-05-01 06:00:00,40.46,0.0,228.0,95.0,23.84,Idle,0,0,4,151132.97,50.004
2025-05-01 06:15:00,41.58,0.0,228.0,95.0,20.99,Idle,0,0,4,149856.15,49.981
2025-05-01 06:30:00,38.52,0.0,228.0,95.0,29.84,Idle,0,0,4,150037.14,49.988
2025-05-01 06:45:00,39.84,0.0,228.0,95.0,25.7,Idle,0,0,4,148812.49,50.009
2025-05-01 07:00:00,38.42,0.0,228.0,95.0,24.06,Idle,0,0,4,150532.68,50.009
2025-05-01 07:15:00,39.81,0.0,228.0,95.0,23.93,Idle,0,0,4,149024.66,50.035
2025-05-01 07:30:00,40.5,0.0,228.0,95.0,23.02,Idle,0,0,4,151619.77,49.999
2025-05-01 07:45:00,37.76,0.0,228.0,95.0,25.9,Idle,0,0,4,149338.7,50.004
2025-05-01 08:00:00,39.89,0.0,228.0,95.0,22.78,Idle,0,0,4,148372.31,50.026
2025-05-01 08:15:00,38.11,0.0,228.0,95.0,26.12,Idle,0,0,4,150344.52,50.003
2025-05-01 08:30:00,39.1,0.0,228.0,95.0,27.56,Idle,0,0,4,150350.08,49.984
2025-05-01 08:45:00,41.68,0.0,228.0,95.0,21.33,Idle,0,0,4,149351.86,50.033
2025-05-01 09:00:00,42.39,0.0,228.0,95.0,24.71,Idle,0,0,4,152432.81,49.982
