Timestamp,Irradiance_Wm2,ModuleTemp_C,PowerAC_kW,VoltageAC_V,CurrentAC_A,Frequency_Hz,Fault_Flag
2023-07-01 00:00:00,40.79,18.08,416.09,20092.98,12011.37,49.98,0
2023-07-01 00:15:00,44.15,20.15,450.29,19812.52,12998.81,49.977,0
2023-07-01 00:30:00,0.0,18.68,0.0,19867.44,0.0,49.98,0
2023-07-01 00:45:00,0.0,17.29,0.0,19917.75,0.0,49.994,0
2023-07-01 01:00:00,75.47,20.28,769.79,19839.29,22221.99,50.002,0
2023-07-01 01:15:00,0.0,17.64,0.0,19923.72,0.0,50.013,0
2023-07-01 01:30:00,0.0,17.33,0.0,20109.78,0.0,49.996,0
2023-07-01 01:45:00,21.22,17.97,216.45,20151.54,6248.38,50.0,0
2023-07-01 02:00:00,0.0,17.25,0.0,20081.36,0.0,49.983,0
2023-07-01 02:15:00,0.0,17.87,0.0,20052.51,0.0,50.001,0
2023-07-01 02:30:00,130.26,20.99,1328.67,19608.91,38355.46,49.997,0
2023-07-01 02:45:00,59.94,21.52,0.0,20042.01,0.0,50.002,1
2023-07-01 03:00:00,0.0,19.11,0.0,20244.5,0.0,49.995,0
2023-07-01 03:15:00,0.0,18.25,0.0,20048.77,0.0,50.02,0
2023-07-01 03:30:00,0.0,16.42,0.0,19847.79,0.0,49.997,0
2023-07-01 03:45:00,0.0,18.73,0.0,19844.73,0.0,49.974,0
2023-07-01 04:00:00,0.0,17.76,0.0,19987.25,0.0,50.005,0
2023-07-01 04:15:00,0.0,17.84,0.0,19844.79,0.0,49.994,0
2023-07-01 04:30:00,59.13,19.36,603.15,20117.29,17411.3,49.988,0
2023-07-01 04:45:00,39.59,18.7,403.8,20333.23,11656.7,50.003,0
2023-07-01 05:00:00,1.38,18.61,14.13,19783.73,407.76,50.01,0
2023-07-01 05:15:00,0.0,19.4,0.0,19951.7,0.0,49.96,0
2023-07-01 05:30:00,94.52,21.15,964.1,20206.04,27831.3,50.008,0
2023-07-01 05:45:00,0.0,21.83,0.0,20004.87,0.0,49.947,0
2023-07-01 06:00:00,0.0,21.06,0.0,19922.63,0.0,50.019,0
2023-07-01 06:15:00,0.0,21.94,0.0,19949.56,0.0,50.004,0
2023-07-01 06:30:00,0.0,22.2,0.0,20012.12,0.0,49.977,0
2023-07-01 06:45:00,148.1,26.42,1510.58,19833.29,43606.77,50.015,0
2023-07-01 07:00:00,194.12,27.8,1980.03,20203.37,57158.59,49.99,0
2023-07-01 07:15:00,324.62,32.47,3311.09,19828.38,95582.85,50.004,0
2023-07-01 07:30:00,443.17,35.47,4520.3,19978.55,130489.81,50.014,0
2023-07-01 07:45:00,348.66,35.13,3556.33,19838.71,102662.47,49.971,0
2023-07-01 08:00:00,403.64,37.36,4117.12,20066.41,118850.91,49.988,0
2023-07-01 08:15:00,315.84,34.54,3221.61,19934.15,92999.73,50.008,0
2023-07-01 08:30:00,564.2,41.28,5754.79,19753.2,166126.58,49.992,0
2023-07-01 08:45:00,616.89,43.54,6292.33,20262.21,181643.87,50.03,0
2023-07-01 09:00:00,720.41,45.22,7348.23,19848.09,212125.0,49.997,0
2023-07-01 09:15:00,764.17,47.13,7794.51,20130.55,225008.19,49.975,0
2023-07-01 09:30:00,886.95,51.32,9046.91,20057.49,261161.67,50.02,0
2023-07-01 09:45:00,845.26,50.45,8621.68,19814.45,248886.4,50.002,0
2023-07-01 10:00:00,876.34,52.0,8938.68,20098.53,258037.32,49.991,0
2023-07-01 10:15:00,890.0,51.86,9078.0,20078.18,262059.23,50.005,0
2023-07-01 10:30:00,945.57,52.87,9644.83,19893.91,278422.36,49.982,0
2023-07-01 10:45:00,918.2,53.7,9365.65,20215.99,270363.03,50.012,0
2023-07-01 11:00:00,1092.66,57.65,10200.0,19986.03,294448.64,50.012,0
2023-07-01 11:15:00,1006.97,56.24,10200.0,20281.79,294448.64,50.048,0
2023-07-01 11:30:00,901.77,53.82,9198.05,19669.32,265524.79,50.029,0
2023-07-01 11:45:00,1063.8,56.62,10200.0,19720.4,294448.64,49.996,0
2023-07-01 12:00:00,1035.48,55.1,10200.0,20030.24,294448.64,50.002,0
2023-07-01 12:15:00,794.26,49.27,8101.47,20279.91,233869.23,49.995,0
2023-07-01 12:30:00,916.5,49.88,9348.29,19966.17,269861.8,50.024,0
2023-07-01 12:45:00,918.2,50.11,9365.65,20106.41,270362.89,50.011,0
2023-07-01 13:00:00,998.53,53.34,10184.97,19994.27,294014.88,49.992,0
2023-07-01 13:15:00,956.95,53.17,9760.86,19878.86,281771.74,50.02,0
2023-07-01 13:30:00,795.87,48.88,8117.84,20062.49,234341.71,50.02,0
2023-07-01 13:45:00,863.49,48.28,8807.64,20052.55,254254.72,50.037,0
2023-07-01 14:00:00,743.71,44.59,7585.83,19810.57,218984.05,49.987,0
2023-07-01 14:15:00,833.56,47.77,8502.35,19819.23,245441.75,49.988,0
2023-07-01 14:30:00,730.99,40.68,7456.07,20215.9,215238.23,50.043,0
2023-07-01 14:45:00,685.54,42.96,6992.52,20020.84,201856.78,50.023,0
2023-07-01 15:00:00,643.87,38.08,6567.47,19851.24,189586.61,50.006,0
2023-07-01 15:15:00,742.17,41.34,7570.14,20194.79,218531.07,50.013,0
2023-07-01 15:30:00,641.58,38.37,6544.07,19943.48,188911.1,49.998,0
2023-07-01 15:45:00,498.36,35.48,5083.26,20094.77,146741.01,49.991,0
2023-07-01 16:00:00,540.06,35.85,5508.59,20424.13,159019.33,50.027,0
2023-07-01 16:15:00,451.76,33.77,4607.93,20014.87,133019.37,49.978,0
2023-07-01 16:30:00,393.43,29.57,4013.02,20131.8,115845.81,49.987,0
2023-07-01 16:45:00,328.0,26.44,3345.63,19983.71,96580.11,49.987,0
2023-07-01 17:00:00,221.45,21.19,2258.82,20113.14,65206.58,49.979,0
2023-07-01 17:15:00,307.56,25.6,3137.11,19970.69,90560.45,50.002,0
2023-07-01 17:30:00,77.36,20.78,789.07,19857.68,22778.4,49.986,0
